               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.016328,           0.0095507,           0.0026836,             0.40651,             0.51189,             0.50923,             0.26877,            0.051842,           0.0090792,             0.11207,             0.00208,             0.00208,             0.00208
                  98,            0.018503,            0.009437,           0.0041323,             0.31011,             0.60417,             0.49826,             0.24073,            0.052645,           0.0090499,             0.11446,           0.0019975,           0.0019975,           0.0019975
                  99,            0.020781,            0.010588,           0.0034452,             0.61554,              0.4375,             0.33549,             0.15935,            0.054022,           0.0093415,             0.12593,            0.001915,            0.001915,            0.001915
                 100,            0.017497,           0.0093088,           0.0039942,             0.29351,             0.51385,             0.32266,             0.15149,            0.053741,           0.0096493,             0.12711,           0.0018325,           0.0018325,           0.0018325
                 101,            0.017541,           0.0099462,           0.0026838,             0.27716,             0.52083,             0.31803,             0.15009,            0.054014,           0.0096972,             0.12258,             0.00175,             0.00175,             0.00175
                 102,            0.018166,           0.0099242,           0.0047844,             0.29123,             0.27083,             0.33339,             0.15906,            0.049531,           0.0099533,             0.11094,           0.0016675,           0.0016675,           0.0016675
                 103,            0.017776,           0.0098604,           0.0041325,             0.53521,             0.26641,             0.20641,             0.10519,            0.047668,             0.01078,             0.10708,            0.001585,            0.001585,            0.001585
                 104,            0.015963,           0.0092306,           0.0036083,             0.23902,              0.4586,             0.20943,             0.10132,            0.047787,            0.011145,             0.10651,           0.0015025,           0.0015025,           0.0015025
                 105,              0.0155,           0.0096265,           0.0023747,             0.25155,             0.50822,             0.18494,            0.092256,            0.049809,            0.011429,             0.10714,             0.00142,             0.00142,             0.00142
                 106,             0.01782,           0.0090913,           0.0036813,             0.20622,             0.43161,             0.17825,            0.092244,            0.051235,            0.011809,             0.10687,           0.0013375,           0.0013375,           0.0013375
                 107,            0.016656,           0.0092164,           0.0041349,             0.19033,              0.4375,             0.15767,            0.083997,            0.051921,            0.011316,             0.11248,            0.001255,            0.001255,            0.001255
                 108,            0.014826,           0.0083256,           0.0024323,             0.18005,             0.38197,             0.14877,            0.074738,            0.051961,            0.011415,             0.11481,           0.0011725,           0.0011725,           0.0011725
                 109,            0.015064,           0.0088992,           0.0047057,             0.13032,              0.1875,             0.13421,            0.082169,            0.051528,            0.011854,             0.10332,             0.00109,             0.00109,             0.00109
                 110,             0.01632,           0.0096182,           0.0034475,             0.22571,             0.27083,             0.20368,             0.10886,            0.051054,            0.011394,             0.10294,           0.0010075,           0.0010075,           0.0010075
                 111,            0.014783,            0.009425,           0.0023406,             0.36226,             0.51099,             0.29893,             0.15522,            0.051805,            0.010545,             0.10826,            0.000925,            0.000925,            0.000925
                 112,            0.014071,           0.0088394,           0.0020678,             0.27511,              0.4375,             0.29528,             0.14626,            0.053015,            0.010256,              0.1072,           0.0008425,           0.0008425,           0.0008425
                 113,            0.015528,           0.0092369,           0.0029229,             0.23227,              0.4375,              0.2991,             0.15432,            0.053208,            0.010321,             0.10496,             0.00076,             0.00076,             0.00076
                 114,            0.015589,           0.0084405,           0.0044791,             0.21243,              0.4375,             0.27145,              0.1302,            0.053335,            0.010268,             0.10653,           0.0006775,           0.0006775,           0.0006775
                 115,            0.015072,           0.0087818,           0.0024368,             0.20722,              0.4375,             0.20814,            0.099136,            0.053126,            0.010301,             0.10872,            0.000595,            0.000595,            0.000595
                 116,            0.014064,           0.0077958,           0.0023135,             0.29942,             0.52083,             0.21043,            0.099323,            0.052663,            0.010505,             0.10439,           0.0005125,           0.0005125,           0.0005125
                 117,            0.015631,           0.0089861,           0.0029481,             0.24997,             0.27083,              0.2215,             0.10401,             0.05203,            0.010805,            0.099512,             0.00043,             0.00043,             0.00043
                 118,            0.017095,           0.0093913,           0.0037099,             0.25378,             0.27083,             0.22105,             0.10369,            0.051652,            0.010838,            0.096655,           0.0003475,           0.0003475,           0.0003475
                 119,             0.01627,           0.0079294,           0.0023137,             0.32302,             0.46609,             0.24086,             0.11564,            0.051383,            0.010753,            0.091345,            0.000265,            0.000265,            0.000265
